Name	Rarity	Ability	Power	Defense	Image
Light Saber Battle	Epic	Unleash the force. Disable your opponent's highest-powered card for one turn. Gain 5 defense if their defense is less than 8.	6	9	70.webp
Jurassic Park	Legendary	Release the dinosaurs. Destroy one of your opponent's cards permanently. Gain 10 defense if it's a Rare card or higher.	6	7	71.webp
Mission Impossible	Epic	Complete the impossible. Draw two cards and choose the one with higher power. Gain 5 defense if the card's power is 10 or more.	8	7	72.webp
Ballet Dancer	Common	Graceful movement. Gain 10 points and draw one additional card. Gain 3 defense if the new card is a Rare or higher.	8	5	73.webp
WW2 Parachuter	Uncommon	Surprise attack. Swap one card from your hand with an opponent's card. Gain 5 defense if the new card has higher defense.	4	8	74.webp
War Refugee	Rare	Survive and adapt. Gain 15 points and skip your opponent's next turn. Gain 5 defense if they cannot attack.	6	7	75.webp
African Tribe Woman	Common	Strength of tradition. Gain 10 points if you play a culture-related card next. Gain 3 defense if the card is Rare or higher.	6	5	76.webp
Oil Worker	Uncommon	Drill deep. Gain 20 points if you play an energy-related card next. Gain 3 defense if it wins the round.	4	6	77.webp
Ship Captain	Rare	Command the seas. Gain control of your opponent's next move. Gain 5 defense if their card is defeated.	6	7	78.webp
French Noble	Epic	Power and prestige. Double the power of your next card. Gain 5 defense if the card wins.	10	8	79.webp
Dante Alighieri	Legendary	Journey through the divine. Draw three cards and choose one to keep. Gain 10 defense if the card is Epic or higher.	8	9	80.webp
Broke and Delusional	Common	False hope. Gain 5 points but lose your next turn. Gain 3 defense if your total defense is higher than your opponent's.	6	5	81.webp
New York Tourist	Common	City wanderer. Gain 10 points if you play another city-related card next. Gain 3 defense if the card is a Rare or higher.	6	4	82.webp
Parisien	Common	Style and charm. Add 10 points to your score. Gain 3 defense if you surpass your opponent's total score.	6	5	83.webp
London Tourist	Common	Foggy adventure. Draw one card if you play a weather-related card next. Gain 3 defense if it's a Rare or higher.	8	4	84.webp
Berlin Tourist	Common	Historic journey. Gain 10 points for every history-related card in play. Gain 3 defense if more than one matches.	6	5	85.webp
Rome Tourist	Common	Explore the ancient city. Draw an extra card if you play a historical figure card next. Gain 3 defense if it's Rare or higher.	8	4	86.webp
The Medici Family	Legendary	Boost your influence. Gain control of one opponent's card for one turn. Gain 10 defense if it’s a Rare or higher.	6	8	87.webp
Bitcoin Shower	Rare	Rain of wealth. Gain 25 points and prevent your opponent from playing their next card. Gain 5 defense if it succeeds.	6	7	88.webp
Anarco Revolutionist	Epic	Overthrow the system. Swap your hand with your opponent's. Gain 5 defense if the new hand has higher defense.	6	9	89.webp
Sand Worm Rider	Legendary	Master of the dunes. Double the power of any desert-related card in play. Gain 10 defense if it wins.	10	7	90.webp
Lisbon Tourist	Common	Discover the city. Gain 10 points if you play a landmark-related card next. Gain 3 defense if it’s Rare or higher.	6	4	91.webp
Fellowship of the Ring	Legendary	United we stand. Combine the power of all your cards for one powerful attack. Gain 10 defense if the attack wins.	6	9	92.webp
School of Magic	Epic	Learn the arcane arts. Draw two cards and gain 20 points. Gain 5 defense if the combined power exceeds 15.	8	7	93.webp
The Pharaoh	Legendary	Rule the ancient world. Gain control of your opponent's next two moves. Gain 10 defense if any move is blocked.	6	8	94.webp
The Influencer	Rare	Shape opinions. Double the effect of your next social media-related card. Gain 5 defense if it’s a Rare or higher.	10	6	95.webp
Sports Car Enthusiast	Common	Speed thrills. Gain 15 points and draw one additional card. Gain 3 defense if the new card is Rare or higher.	8	4	96.webp
F16 Pilot	Epic	Supersonic strike. Gain 30 points and disable your opponent's next move. Gain 5 defense if their move is blocked.	6	8	97.webp
F1 Pilot	Rare	Racing ahead. Gain 20 points and draw one additional card. Gain 5 defense if the new card has higher defense than 8.	8	7	98.webp
MotoGP Pilot	Rare	High-speed chase. Gain 20 points and block an opponent's next move. Gain 5 defense if the block is successful.	6	7	99.webp
MX Pilot	Common	Off-road challenge. Gain 15 points if you play a vehicle-related card next. Gain 3 defense if the next card is Rare or higher.	6	5	100.webp
Underground Safehouse	Epic	Hidden refuge. Protect all your cards from opponent's attacks for one turn. Gain 5 defense if no cards are attacked.	6	9	101.webp
Police Officer	Common	Law enforcement. Gain 10 points and prevent your opponent from drawing a new card. Gain 3 defense if the prevention is successful.	8	4	102.webp
Drug Bust	Rare	Major operation. Remove one of your opponent's cards from play permanently. Gain 5 defense if the removed card is a Rare or higher.	6	6	103.webp
The Chemical	Uncommon	Explosive reaction. Gain 15 points and draw an additional card. Gain 3 defense if the new card has 5 or more defense.	5	7	104.webp
Radioactive Zone	Epic	Dangerous territory. Disable one of your opponent's cards for the rest of the game. Gain 5 defense if the disabled card is an Epic or higher.	6	8	105.webp
Space Explorer	Legendary	Journey beyond. Gain 30 points and draw three cards. Gain 10 defense if any drawn card is a Legendary.	8	7	106.webp
Muhammad	Legendary	Prophetic wisdom. Swap one card with your opponent and gain 25 points. Gain 10 defense if the swapped card has higher defense.	6	8	107.webp
Beijing Tourist	Common	Cultural immersion. Gain 10 points if you play an Asia-related card next. Gain 3 defense if it’s Rare or higher.	6	5	108.webp
Moscow Tourist	Common	Explore the Red Square. Gain 10 points and draw an additional card. Gain 3 defense if the new card is Epic or higher.	8	4	109.webp
Amsterdam Tourist	Common	Canal adventure. Gain 10 points if you play a water-related card next. Gain 3 defense if the next card has 5 or more defense.	6	5	110.webp
Buenos Aires Tourist	Common	Tango in the streets. Gain 10 points if you play a dance-related card next. Gain 3 defense if the card is Rare or higher.	6	4	111.webp
Vietnam Tourist	Common	War-torn history. Gain 10 points for every war-related card in play. Gain 3 defense if more than two match.	6	6	112.webp
Mexico Tourist	Common	Explore the ruins. Gain 10 points if you play an ancient civilization card next. Gain 3 defense if it’s Epic or higher.	6	4	113.webp
Vietnam War	Epic	Guerrilla tactics. Remove one of your opponent's cards from play permanently. Gain 5 defense if the card was Rare or higher.	6	7	114.webp
Ukrainian War	Rare	Defend the homeland. Gain 20 points and block your opponent's next move. Gain 5 defense if the block is successful.	6	8	115.webp
Chile Tourist	Common	Andes adventure. Gain 10 points if you play a mountain-related card next. Gain 3 defense if it’s Rare or higher.	6	4	116.webp
Galapagos Tourist	Common	Nature's wonders. Gain 10 points if you play an animal-related card next. Gain 3 defense if the next card is an Epic or higher.	6	5	117.webp
Construction Builder	Common	Build the future. Gain 10 points and draw an additional card. Gain 3 defense if the card is a Rare or higher.	8	4	118.webp
Free Climber	Rare	Defy gravity. Gain 20 points and block your opponent's next move. Gain 5 defense if the block succeeds.	6	7	119.webp
Skydiver	Uncommon	Leap of faith. Gain 15 points and draw an additional card. Gain 3 defense if the new card has more than 5 defense.	5	6	120.webp
Rio De Janeiro Tourist	Common	Carnival spirit. Gain 10 points if you play a music-related card next. Gain 3 defense if the next card is Rare or higher.	6	5	121.webp
Rolex Collector	Rare	Time is money. Gain 20 points and prevent your opponent from drawing a new card. Gain 5 defense if the prevention is successful.	8	7	122.webp
Relaxing Italian Countryside	Common	La dolce vita. Gain 10 points and draw an additional card. Gain 3 defense if the new card is Rare or higher.	8	4	123.webp
Thailand Tourist	Common	Tropical paradise. Gain 10 points if you play a beach-related card next. Gain 3 defense if it’s an Epic or higher.	6	4	124.webp
Dante's Inferno	Legendary	Journey through hell. Remove one of your opponent's cards permanently. Gain 10 defense if the card was an Epic or higher.	6	7	125.webp
High Stakes Player	Epic	Gamble everything. Double your points, but lose half if you lose the next round. Gain 5 defense if you win the gamble.	10	6	126.webp
Poorest in the World	Rare	Nothing to lose. Draw two additional cards but lose 10 points. Gain 5 defense if both cards are Rare or higher.	8	7	127.webp
Moses Cappuccino	Legendary	Part the waters. Swap one of your cards with any card from the discard pile. Gain 10 defense if the new card is Epic or higher.	9	8	128.webp
Spartan Warrior	Epic	Hold the line. Gain 25 points and block your opponent's next two moves. Gain 5 defense if both blocks are successful.	6	9	129.webp
Skateboarder	Common	Trick master. Gain 10 points and draw one additional card. Gain 3 defense if the new card is Rare or higher.	8	4	130.webp
Back From the Future	Legendary	Time travel. Reverse the last move made by your opponent. Gain 10 defense if the move was a power play.	6	8	131.webp
Skylining	Rare	High altitude. Gain 20 points and block your opponent's next move. Gain 5 defense if the opponent's next card is blocked.	6	7	132.webp
Tesla Roadster	Rare	Electric speed. Gain 20 points and draw one additional card. Gain 5 defense if the new card has more than 8 defense.	8	6	133.webp
Sports Car Pilot	Common	Fast and furious. Gain 15 points if you play another vehicle-related card next. Gain 3 defense if the card is Rare or higher.	6	5	134.webp
Drowning in Gems	Epic	Wealth overload. Gain 25 points but lose your next turn. Gain 5 defense if the opponent cannot capitalize on your lost turn.	6	9	135.webp
The Butcher	Common	Cut to the chase. Gain 10 points and discard one of your opponent's cards. Gain 3 defense if the card has lower defense than 5.	9	6	136.webp
Innsbruck Tourist	Common	Alpine adventure. Gain 10 points if you play a winter-related card next. Gain 3 defense if the card is Rare or higher.	6	4	137.webp
Las Vegas Trip	Rare	All in. Double your points, but lose half if you lose the next round. Gain 5 defense if you win the round.	10	7	138.webp
The Sheep Herd Disguise	Uncommon	Blend in. Avoid any attacks from your opponent for one turn. Gain 5 defense if no attacks happen.	4	8	139.webp
Olympic Pole Vaulter	Rare	Reach new heights. Gain 20 points and block your opponent's next move. Gain 5 defense if the block is successful.	6	7	140.webp
Street Break Dancer	Common	Street style. Gain 10 points and draw one additional card. Gain 3 defense if the new card is Rare or higher.	8	4	141.webp
Priestess of a Greek God	Epic	Divine intervention. Swap one of your cards with any card from the discard pile. Gain 5 defense if the new card is Legendary.	9	7	142.webp
Ulisses	Legendary	Heroic journey. Draw two cards and gain 25 points. Gain 10 defense if both cards are Rare or higher.	8	8	143.webp
Food Delivery Bike	Common	Fast service. Gain 10 points if you play a food-related card next. Gain 3 defense if the next card is Rare or higher.	6	5	144.webp
New York Taxi Driver	Common	Navigate the chaos. Gain 10 points and block an opponent's next move. Gain 3 defense if the block succeeds.	6	4	145.webp
Her Majesty the Queen	Legendary	Royal decree. Gain 30 points and swap one of your cards with an opponent's. Gain 10 defense if the new card is Epic or higher.	6	8	146.webp
High Fashion Model	Epic	Catwalk queen. Gain 25 points and prevent your opponent from drawing new cards for one turn. Gain 5 defense if they fail to draw.	8	7	147.webp
Dish Washer	Common	Clean slate. Gain 10 points and discard one of your opponent's cards. Gain 3 defense if the discarded card is weaker.	9	5	148.webp
Farmer	Common	Harvest time. Gain 10 points if you play a nature-related card next. Gain 3 defense if the card is Rare or higher.	6	4	149.webp
Construction Worker	Common	Build the future. Gain 10 points and draw one additional card. Gain 3 defense if the card is Epic or higher.	8	5	150.webp
Window Cleaner	Common	Clear vision. Gain 10 points and reveal one of your opponent's cards. Gain 3 defense if their revealed card is weaker.	9	4	151.webp
Hot Dog Man	Common	Street food hero. Gain 10 points if you play a food-related card next. Gain 3 defense if the card is a Rare or higher.	6	4	152.webp
Website Developer	Common	Code master. Gain 10 points and draw one additional card. Gain 3 defense if the new card is technology-themed.	8	5	153.webp
Kebab Chef	Common	Middle Eastern delight. Gain 10 points if you play a food-related card next. Gain 3 defense if the card is Epic or higher.	6	4	154.webp
Ramen Cook	Common	Japanese flavor. Gain 10 points if you play an Asia-related card next. Gain 3 defense if it’s a Rare card.	6	5	155.webp
Egyptian Cab Driver	Common	Navigate the pyramids. Gain 10 points if you play a history-related card next. Gain 3 defense if the card is Epic or higher.	6	4	156.webp
Gorilla Wildlife Protection	Epic	Endangered species. Gain 25 points and protect one of your cards from being removed. Gain 5 defense if the protected card is Rare or higher.	6	8	157.webp
Sewage Plumber	Common	Fix the pipes. Gain 10 points and discard one of your opponent's cards. Gain 3 defense if the discarded card is weaker.	9	4	158.webp
Hindu Worshipper	Rare	Spiritual connection. Gain 20 points and draw one additional card. Gain 5 defense if the new card is Epic or higher.	8	7	159.webp
The Bishop	Rare	Clerical authority. Gain 20 points and block your opponent's next move. Gain 5 defense if the block is successful.	6	8	160.webp
Islamic Singer	Common	Call to prayer. Gain 10 points and draw one additional card. Gain 3 defense if the new card is a Rare or higher.	8	4	161.webp
The Base of Life	Epic	Foundational structure. Gain 25 points and protect one of your cards from being removed. Gain 5 defense if the protected card is Epic or higher.	6	7	162.webp
Jewish Priest	Rare	Ancient tradition. Gain 20 points and block your opponent's next move. Gain 5 defense if the block succeeds.	6	8	163.webp
Native American Ghost Whisperer	Epic	Spirit guide. Gain 25 points and draw one additional card. Gain 5 defense if the new card is a Legendary.	8	7	164.webp
Buddhist Golden Boy	Rare	Enlightened path. Gain 20 points and prevent your opponent from drawing new cards for one turn. Gain 5 defense if they fail to draw.	8	6	165.webp
Amazon Devastation	Legendary	Ravaged land. Remove one of your opponent's cards from play permanently. Gain 10 defense if the card was Epic or higher.	6	9	166.webp
Colombian Narcos	Rare	Drug lord. Gain 20 points and block your opponent's next move. Gain 5 defense if the block is successful.	6	7	167.webp
Child Miner	Common	Dangerous work. Gain 10 points but lose your next turn. Gain 3 defense if the total defense of your hand is higher than 15.	6	5	168.webp
Diamond Trader	Rare	Wealth and power. Gain 20 points and draw one additional card. Gain 5 defense if the new card is Rare or higher.	8	7	169.webp
Weapon Trader	Epic	Arms dealer. Gain 25 points and block your opponent's next move. Gain 5 defense if the block is successful.	6	8	170.webp
Solar Installation	Rare	Renewable energy. Gain 20 points and protect one of your cards from being removed. Gain 5 defense if the protected card is Rare or higher.	6	7	171.webp
Painter in Paris	Rare	Artistic inspiration. Gain 20 points and draw one additional card. Gain 5 defense if the new card is a Rare or higher.	8	6	172.webp
Torero	Rare	Bullfighter's courage. Gain 20 points and block your opponent's next move. Gain 5 defense if the block succeeds.	6	7	173.webp
Assembly Line Worker	Common	Precision and repetition. Gain 10 points and draw one additional card. Gain 3 defense if the new card has 6 or more defense.	8	4	174.webp
Semiconductor Engineer	Rare	Tech genius. Gain 20 points and protect one of your cards from being removed. Gain 5 defense if the protected card is Rare or higher.	6	7	175.webp
Leather Worker	Common	Add +2 durability to one of your items, making it harder for opponents to destroy. Gain 3 defense if the item is used.	6	5	176.webp
Textile Worker	Common	Can repair one damaged item, restoring it to full power. Gain 3 defense if the repair succeeds.	6	4	177.webp
High End Car Seller	Rare	Increase your wealth by 5 points. Gain additional 2 points for every luxury card in play. Gain 5 defense if there are more than two.	6	6	178.webp
Helicopter Pilot	Rare	Move one of your cards to a different position in the lineup, gaining a strategic advantage. Gain 5 defense if the card is an Epic or higher.	6	7	179.webp
Sherpa	Rare	Decrease the stamina of an opponent's card by half, making it less effective. Gain 5 defense if their defense drops below 5.	6	8	180.webp
Football Speaker	Common	Gain one additional action point during your next turn. Gain 3 defense if you use that action point effectively.	6	5	181.webp
TV Cameraman	Common	Reveal an opponent's hidden card and expose its power. Gain 3 defense if the revealed card has less than 5 defense.	9	4	182.webp
Spanish Meteorologist	Uncommon	Change the weather conditions in the game, affecting all players' abilities for one round. Gain 5 defense if you gain the upper hand.	4	6	183.webp
TV Anchorman	Rare	Increase your influence by spreading fake news, causing one of your opponent's cards to lose its power for a turn. Gain 5 defense if the card is a Rare or higher.	6	7	184.webp
Poor Old Fart	Common	Draw one card from the deck, potentially gaining a small advantage. Gain 3 defense if the card has higher defense than 5.	8	4	185.webp
IRA Terrorist	Epic	Deal 3 damage to an opponent’s defense, breaking through any barriers. Gain 5 defense if the damage is successful.	6	8	186.webp
Airline Stewardess	Common	Heal one of your cards by providing in-flight services, restoring its full power. Gain 3 defense if the card is restored to full.	6	4	187.webp
The Poacher	Rare	Capture one of your opponent's rare cards and use it for your own gain. Gain 5 defense if the captured card is Epic or higher.	6	7	188.webp
Crane Driver	Common	Rearrange your cards, placing the strongest at the front to defend against attacks. Gain 3 defense if the strategy works.	6	4	189.webp
Roughneck	Uncommon	Increase your card's strength by 2 for every turn it remains in play. Gain 5 defense if it stays for more than two turns.	4	7	190.webp
House Plumber	Common	Fix one malfunction in your hand, restoring its usability. Gain 3 defense if the malfunction is fixed successfully.	6	5	191.webp
Mommy with the Kids	Common	Distract your opponent, reducing their effectiveness by 2 for the next round. Gain 3 defense if the distraction succeeds.	6	4	192.webp
Pension FTW	Uncommon	Gain a small, steady income of 5 points per turn for the duration of the game. Gain 3 defense if you accumulate more than 20 points.	4	7	193.webp
Climate Change	Rare	Alter the game environment, weakening all cards in play by 1. Gain 5 defense if your cards have higher defense.	6	6	194.webp
UFO Spotter	Rare	Call in alien assistance, gaining a mysterious power-up for your cards. Gain 5 defense if the power-up successfully boosts a card's power.	6	7	195.webp
Space X	Epic	Launch your cards into orbit, avoiding damage for one full round. Gain 5 defense if no cards are damaged.	6	8	196.webp
Traffic Light Beggar	Common	Gain 5 points from each opponent as a form of small charity. Gain 3 defense if the total points exceed 15.	6	5	197.webp
Bitcoin LSD	Rare	Cause an opponent’s card to hallucinate, making it useless for one round. Gain 5 defense if their next card also has less than 5 power.	6	6	198.webp
Apple Farmer	Common	Harvest apples and gain 5 points every three turns. Gain 3 defense if you gain more than 15 points.	6	4	199.webp
Pac Farmer	Uncommon	Pac your cards with extra energy, giving them a 2-point power boost for two turns. Gain 5 defense if a card wins using the boost.	4	7	200.webp
High Voltage Climber	Rare	Boost your card's energy, allowing it to overpower opponents' defenses by 2. Gain 5 defense if the overpower is successful.	6	6	201.webp
New Year’s Eve	Uncommon	Celebrate by doubling your points for one turn. Gain 5 defense if your total points surpass the opponent's.	4	6	202.webp
Weed Factory	Uncommon	Calm your opponent's strongest card, reducing its power by 3. Gain 5 defense if their card's power falls below 5.	4	7	203.webp
Cyberpunk	Rare	Hack into the game system, gaining access to one of your opponent's abilities. Gain 5 defense if the ability is successfully used.	6	8	204.webp
Blade Runner	Rare	Cut through defenses, dealing 4 damage to an opponent's card. Gain 5 defense if the damage brings their defense below 5.	6	7	205.webp
Poker Player	Rare	Bluff your opponent into revealing their strategy, giving you the upper hand for the next turn. Gain 5 defense if their revealed card is weaker.	9	6	206.webp
Gang Shootout	Epic	Engage in a shootout, dealing 2 damage to all opponent's cards in play. Gain 5 defense if more than two cards are damaged.	6	8	207.webp
Field Care Pilot	Rare	Fly to the rescue, healing one of your cards to full power. Gain 5 defense if the healed card is Epic or higher.	6	7	208.webp
Mobile Reseller	Common	Sell outdated tech to gain a small profit of 5 points per turn. Gain 3 defense if you accumulate more than 15 points.	6	4	209.webp
Proximity Skydiver	Epic	Soar close to the ground, avoiding an opponent's attack entirely for one round. Gain 5 defense if the opponent's attack fails.	6	8	210.webp
Swordsmith	Rare	Forge a powerful weapon, boosting the attack power of one card by 3. Gain 5 defense if the card wins the next battle.	6	7	211.webp
Circus Juggler	Common	Confuse your opponents by shuffling their cards, disrupting their strategy. Gain 3 defense if their next move is ineffective.	6	4	212.webp
Street Magician	Rare	Perform a card trick to switch one of your cards with an opponent's for one turn. Gain 5 defense if the switch results in a win.	6	7	213.webp
Dog Park	Common	Relax and recharge. Heal one of your cards by 2 points. Gain 3 defense if the card's defense exceeds 5 after healing.	6	4	214.webp
Russian Fighter Pilot	Epic	Launch a precision strike, reducing an opponent's defense by 4. Gain 5 defense if their defense is reduced to 0.	6	8	215.webp
Hood Pimp	Rare	Control the streets, gaining an extra turn if you defeat an opponent's card. Gain 5 defense if the extra turn is effective.	6	6	216.webp
Fruit Seller in Baghdad	Common	Gain small, steady profits of 5 points per turn by selling fruit. Gain 3 defense if you gain more than 15 points.	6	5	217.webp
